"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
3612,"Q6BDS2","UHRF1BP1","UHRF1-binding protein 1","UHRF1BP1",0.247073018,0.378366349,-0.180644602,0.670418042,0.664178504,0.219934533,0.167347074,0.533025201,0.318566017,"OTHER"
3613,"Q6DD88","ATL3","Atlastin-3","ATL3",-0.107170258,0.010216991,-0.11553699,0.034960004,-0.014841291,-0.065182191,-0.069677474,-0.014441981,1,"OTHER"
3614,"Q6DKI1","RPL7L1","60S ribosomal protein L7-like 1","RPL7L1",-0.076552616,-0.24739138,-0.095350853,0.16074567,-0.206465268,-0.074211845,-0.137762162,-0.031904978,1,"OTHER"
3615,"Q6DKJ4","NXN","Nucleoredoxin","NXN",-0.121753778,0.136228257,0.002344916,0.054097123,0.045209782,0.108701218,0.009454436,0.069610277,1,"OTHER"
3617,"Q6DN90","IQSEC1","IQ motif and SEC7 domain-containing protein 1","IQSEC1",0.288750495,0.326832035,0.417922412,0.299390382,0.370666527,0.2076102,0.345525145,0.294095503,1,"OTHER"
3618,"Q6EEV4","POLR2M","DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5","POLR2M",-0.208888415,-0.047901051,0.152534376,0.131932801,-0.05269363,-0.019943774,-0.027152172,0.02203225,1,"OTHER"
3619,"Q6EMK4","VASN","Vasorin","VASN",-0.178397651,0.000945014,-0.110943199,0.135588001,0.064531197,0.013331,-0.094227237,0.072022859,1,"OTHER"
3620,"Q6FI81","CIAPIN1","Anamorsin","CIAPIN1",0.389531219,-0.030207449,-0.209789376,-0.112412264,0.050262113,0.262142092,0.072179272,0.074848421,1,"OTHER"
3621,"Q6FIF0","ZFAND6","AN1-type zinc finger protein 6","ZFAND6",-0.572493936,-0.199655194,0.192113184,0.11939085,0.111771014,-0.108417521,-0.159692349,0.044713505,0.876410268,"OTHER"
3622,"Q6GMV2","SMYD5","SET and MYND domain-containing protein 5","SMYD5",-0.055132473,-0.318632157,-0.205858029,0.217872181,-0.217614846,-0.020324928,-0.189154583,0.00432815,1,"OTHER"
3623,"Q6GMV3","PTRHD1","Putative peptidyl-tRNA hydrolase PTRHD1","PTRHD1",-0.161399999,-0.010796506,-0.243292642,-0.104230747,0.298292597,-0.036854783,-0.135260458,0.063395638,1,"OTHER"
3624,"Q6GQQ9","OTUD7B","OTU domain-containing protein 7B","OTUD7B",0.252889288,0.796117165,0.359345249,0.081703523,0.074524743,0.382619732,0.489151094,0.186918027,0.62514107,"OTHER"
3625,"Q6GYQ0","RALGAPA1","Ral GTPase-activating protein subunit alpha-1","RALGAPA1",0.716531209,0.639323503,0.304789144,0.036575079,0.261430181,-0.04966308,0.564317365,0.088821989,0.101843861,"OTHER"
3626,"Q6I9Y2","THOC7","THO complex subunit 7 homolog","THOC7",-0.434679571,0.260916196,0.263236223,0.022510729,0.276513784,0.214545116,0.065004844,0.175185186,1,"OTHER"
3627,"Q6IA69","NADSYN1","Glutamine-dependent NAD(+) synthetase","NADSYN1",-0.101181268,0.019221046,-0.075261996,0.15722503,-0.092665913,-0.099157865,-0.051473288,-0.006503802,1,"OTHER"
3628,"Q6IA86","ELP2","Elongator complex protein 2","ELP2",-0.012550054,0.001036114,0.021226018,0.083947124,0.111330799,0.071563057,0.003304145,0.089042829,1,"OTHER"
