"id","uniprot","main_gene","Protein.names","Gene.names","up_low_log2_rep1","up_low_log2_rep2","up_low_log2_rep3","down_high_log2_rep1","down_high_log2_rep2","down_high_log2_rep3","log2_avg_upfc","log2_avg_downfc","qVal","directionfc"
2374,"Q3V1T4","Lepre1","Prolyl 3-hydroxylase 1","Lepre1",0.155343651,-0.020392058,-0.114968714,0.05114198,0.053580619,0.100300702,0.011044216,0.068519086,1,"OTHER"
2376,"Q3V384","Lace1","Lactation elevated protein 1","Lace1",0.938161174,0.756554224,-0.478807526,2.213792351,-1.017615515,2.656118187,0.527105592,1.930574658,0.000976752,"OTHER"
2378,"Q3V3Q7","Pacs2","Phosphofurin acidic cluster sorting protein 2","Pacs2",-0.000145518,0.155835365,-0.11920071,-0.312245562,-0.038096683,0.103101758,0.016573932,-0.072277252,1,"OTHER"
2379,"Q3V3R1","Mthfd1l","Monofunctional C1-tetrahydrofolate synthase, mitochondrial","Mthfd1l",0.113450031,-0.017748186,-0.064672722,-0.07541881,0.200708137,-0.067336107,0.012329158,0.02513633,1,"OTHER"
2380,"Q3V3R4","Itga1","Integrin alpha-1","Itga1",0.005904206,0.022231173,-0.219354045,0.221608043,0.083221006,0.081382394,-0.059605383,0.130247571,1,"OTHER"
2381,"Q3V4B5","Commd6","COMM domain-containing protein 6","Commd6",-0.010416285,-0.126592256,0.064622669,0.140576022,0.36531657,-0.140401224,-0.021994841,0.136531004,1,"OTHER"
2382,"Q3ZK22","Vezt","Vezatin","Vezt",-0.026846858,0.212802106,-0.114393915,-0.022010191,-0.07406685,0.355922327,0.030581172,0.099685418,1,"OTHER"
2383,"Q45VK7","Dync2h1","Cytoplasmic dynein 2 heavy chain 1","Dync2h1",-0.014670932,-0.562586719,-0.81844379,0.092004145,0.361304018,-0.173981255,-0.425318609,0.10961887,0.130301143,"OTHER"
2384,"Q497H0","Zfand3","AN1-type zinc finger protein 3","Zfand3",0.116561629,-0.179161907,-0.601557359,0.551051692,0.712512605,-0.294479706,-0.191872544,0.385587577,0.146893667,"OTHER"
2387,"Q4FK66","Prpf38a","Pre-mRNA-splicing factor 38A","Prpf38a",-0.092564271,0.248585675,-0.066874466,0.030634884,-0.670741546,0.117673455,0.038248987,-0.13361737,1,"OTHER"
2388,"Q4FZC9","Syne3","Nesprin-3","Syne3",0.021974322,0.076629345,-0.011223635,-0.002555385,-0.038136009,0.062758498,0.029582421,0.007962662,1,"OTHER"
2390,"Q4JIM5","Abl2","Abelson tyrosine-protein kinase 2","Abl2",0.172747949,-0.170143531,-0.496824909,0.314386983,0.48056294,-0.000580839,-0.138906187,0.278329227,0.413120666,"OTHER"
2391,"Q4KML4","Abracl","Costars family protein ABRACL","Abracl",0.241699289,0.361962186,-0.000176319,0.044519752,-0.031772221,-0.240798192,0.208906324,-0.071050034,0.956862826,"OTHER"
2392,"Q4KMM3","Oxr1","Oxidation resistance protein 1","Oxr1",-0.187150237,-0.149452229,-0.060542211,-0.01694115,-0.032092815,-0.317751125,-0.131399946,-0.115781858,1,"OTHER"
2393,"Q4LDD4","Arap1","Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1","Arap1",-0.119373452,-0.144889265,0.064728228,-0.039052811,-0.252413728,-0.115235297,-0.063447331,-0.132885737,1,"OTHER"
2394,"Q4PJX1","Odr4","Protein odr-4 homolog","Odr4",-0.149661632,-0.068032738,0.023643112,0.051943677,0.191357493,-0.077170775,-0.062945457,0.059545868,1,"OTHER"
2395,"Q4PZA2","Ece1","Endothelin-converting enzyme 1","Ece1",0.249359322,0.170618408,0.180254282,0.762340666,-0.081406373,-0.080662591,0.200505837,0.257815052,1,"OTHER"
2398,"Q4VA53","Pds5b","Sister chromatid cohesion protein PDS5 homolog B","Pds5b",0.35804725,-0.04369553,-0.223001353,0.023265309,-0.09421318,-0.114729185,0.051319979,-0.06060004,1,"OTHER"
2400,"Q4VAA2","Cdv3","Protein CDV3","Cdv3",-0.117145925,0.003609268,-0.091981206,-0.083379471,-0.024252856,-0.102398866,-0.067561741,-0.069625123,1,"OTHER"
2401,"Q4VAA7","Snx33","Sorting nexin-33","Snx33",-0.014780813,0.033782683,-0.055563455,0.138378895,-0.142590451,0.116716495,-0.011724552,0.04302857,1,"OTHER"
2402,"Q4VAC9","Plekhg3","Pleckstrin homology domain-containing family G member 3","Plekhg3",0.067972855,0.050975988,-0.028566647,0.137867971,-0.153655417,-0.039783626,0.030737285,-0.01350481,1,"OTHER"
2404,"Q4VBE8","Wdr18","WD repeat-containing protein 18","Wdr18",-0.186412141,-0.186030215,-0.518477911,-0.099762858,0.395208447,-0.259138006,-0.288700344,0.039796364,0.835108232,"OTHER"
2405,"Q4VC33","Maea","Macrophage erythroblast attacher","Maea",-0.148867335,-0.126436289,0.162805303,0.206615858,-0.154384232,-0.049951445,-0.030367911,0.008851493,1,"OTHER"
2406,"Q4VGL6","Rc3h1","Roquin-1","Rc3h1",-0.120794064,0.028430123,-0.126812564,0.310915429,-0.451135544,-0.241893009,-0.071251607,-0.090497499,1,"OTHER"
2407,"Q501J2","Fam173a","Protein FAM173A","Fam173a",0.499642346,-0.567112001,-0.445224792,-1.157837843,-1.471236008,1.550198493,-0.087580335,0.317084513,1,"OTHER"
2408,"Q501J6","Ddx17","Probable ATP-dependent RNA helicase DDX17","Ddx17",0.02157097,0.017518214,-0.024004809,-0.018324627,0.042289408,-0.064709505,0.005174655,-0.012915362,1,"OTHER"
2409,"Q501J7","Phactr4","Phosphatase and actin regulator 4","Phactr4",0.162062698,0.004897679,-0.229620778,0.087628927,0.203358971,-0.229014977,-0.012002349,0.031967034,1,"OTHER"
2411,"Q505D1","Ankrd28","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A","Ankrd28",-0.296188543,-0.022679573,0.158615407,0.268641356,0.082712199,0.236854641,-0.041457153,0.198326732,1,"OTHER"
2412,"Q505D7","Opa3","Optic atrophy 3 protein homolog","Opa3",0.618972233,0.003111121,-0.041753198,-0.432308542,-1.08091519,0.440741731,0.22626731,-0.222573511,0.140568146,"OTHER"
2413,"Q505F5","Lrrc47","Leucine-rich repeat-containing protein 47","Lrrc47",0.144731549,-0.018481176,0.123327478,0.119476563,0.02657452,0.108626577,0.08498978,0.085484807,1,"OTHER"
2417,"Q52KI8","Srrm1","Serine/arginine repetitive matrix protein 1","Srrm1",-0.203736418,-0.35470718,-0.133884923,0.081861337,0.484821991,0.009999055,-0.227860305,0.207789066,0.431524759,"OTHER"
2419,"Q566J8","Adck4","AarF domain-containing protein kinase 4","Adck4",-0.004157838,0.227749014,0.102132124,0.134022931,-0.056910755,0.167991442,0.111693366,0.085045241,1,"OTHER"
2420,"Q569Z5","Ddx46","Probable ATP-dependent RNA helicase DDX46","Ddx46",-0.189458964,-0.179092292,-0.20816518,-0.058787432,0.06753512,-0.131625684,-0.192188697,-0.03860004,1,"OTHER"
2421,"Q569Z6","Thrap3","Thyroid hormone receptor-associated protein 3","Thrap3",-0.410872843,0.052621067,-0.442427243,-0.211611461,-0.211915194,-0.167028608,-0.248558489,-0.196697097,1,"OTHER"
2422,"Q56A08","Gpkow","G patch domain and KOW motifs-containing protein","Gpkow",-0.080136318,-0.378760139,-0.080980261,-0.037091211,-0.268534037,0.668405701,-0.173275082,0.178065019,0.866087791,"OTHER"
2425,"Q571E4","Galns","N-acetylgalactosamine-6-sulfatase","Galns",-0.171172101,-0.123285338,-0.168049873,-0.004975921,0.008365605,-0.075387986,-0.15400268,-0.02353411,1,"OTHER"
2427,"Q571I4","Sgk223","Tyrosine-protein kinase SgK223","Sgk223",0.07009193,-0.242918338,-0.590902182,0.07564963,-0.032271346,-0.110997584,-0.229525906,-0.020505033,1,"OTHER"
2428,"Q571I9","Aldh16a1","Aldehyde dehydrogenase family 16 member A1","Aldh16a1",0.104711801,-0.119814873,-0.035221476,0.011676088,0.184224729,0.123125066,-0.013787026,0.108100088,1,"OTHER"
2430,"Q58A65","Spag9","C-Jun-amino-terminal kinase-interacting protein 4","Spag9",-0.00493887,0.08337515,0.110120676,0.005909226,0.118805854,0.171821506,0.063684617,0.100493276,1,"OTHER"
2431,"Q58NB6","Dhrs9","Dehydrogenase/reductase SDR family member 9","Dhrs9",0.022913674,-0.193614132,-0.087831679,0.177698516,-0.226495145,0.263028509,-0.083468482,0.086685026,1,"OTHER"
2432,"Q59J78","Ndufaf2","Mimitin, mitochondrial","Ndufaf2",-0.280334751,-0.16679657,-0.08864416,0.129054186,-0.229512471,0.2892388,-0.176454659,0.078835218,1,"OTHER"
2433,"Q5BKP2","Usp13","Ubiquitin carboxyl-terminal hydrolase 13","Usp13",-0.452197611,-0.18323347,-0.052289457,-0.136650019,-0.143783491,0.16927225,-0.219796245,-0.029508397,1,"OTHER"
2434,"Q5BL07","Pex1","Peroxisome biogenesis factor 1","Pex1",0.037776449,-0.700634235,-0.752222477,-0.184237516,0.465551376,-0.327093349,-0.424351795,0.027673079,0.330982734,"OTHER"
